Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
199352704,The Sins on Their Bones: Book One of The Cursed Crown series (The Cursed Crown Duology 1),Laura R. Samotin,"Samotin, Laura R.",,"=""1039007570""","=""9781039007574""",4,3.78,Random House Canada,Kindle Edition,447,2024,2024,2025/06/10,2025/05/26,,,read,,,,1,0
205335957,"The Knight and the Moth (The Stonewater Kingdom, #1)",Rachel Gillig,"Gillig, Rachel",,"=""0356522962""","=""9780356522968""",0,4.24,Orbit,Hardcover,385,2025,2025,,2025/06/10,to-read,to-read (#1),to-read,,,,0,0
210868783,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",5,3.99,Scholastic Press,Kindle Edition,541,2024,2020,2025/05/27,2024/12/30,,,read,,,,1,0
208841368,"Emily Wilde's Compendium of Lost Tales (Emily Wilde, #3)",Heather Fawcett,"Fawcett, Heather",,"=""0356519198""","=""9780356519197""",4,4.08,Orbit,Hardcover,368,2025,2025,2025/05/18,2025/05/05,,,read,,,,1,0
58912891,The Very Secret Society of Irregular Witches,Sangu Mandanna,"Mandanna, Sangu",,"=""""","=""""",4,4.03,Berkley ,Kindle Edition,334,2022,2022,2025/04/26,2025/01/23,,,read,,,,1,0
207724101,A Sea of Unspoken Things,Adrienne Young,"Young, Adrienne",,"=""0593598717""","=""9780593598719""",4,3.67,Dell,Kindle Edition,281,2025,2025,2025/05/04,2025/05/02,,,read,,,,1,0
123247704,"House of Flame and Shadow (Crescent City, #3)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",4,4.24,Bloomsbury,Kindle Edition,852,2024,2024,2025/04/20,2025/03/01,,,read,,,,1,0
215098003,"Scythe & Sparrow (The Ruinous Love Trilogy, #3)",Brynne Weaver,"Weaver, Brynne",,"=""""","=""""",4,4.08,Slowburn,Kindle Edition,416,2025,2025,2025/04/06,2025/03/01,,,read,,,,1,0
134119076,"Emily Wilde’s Map of the Otherlands (Emily Wilde, #2)",Heather Fawcett,"Fawcett, Heather",,"=""0593500202""","=""9780593500200""",5,4.24,Del Rey,Kindle Edition,370,2024,2024,2025/04/03,2025/03/01,,,read,,,,1,0
111172922,"Wildfire (Maple Hills, #2)",Hannah  Grace,"Grace, Hannah",,"=""1668026287""","=""9781668026281""",4,3.81,Atria Books,Kindle Edition,396,2023,2023,2025/03/25,2025/03/01,,,read,,,,1,0
34873380,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""""","=""""",5,4.27, Random House LLC,Kindle Edition,401,2014,2014,2025/03/18,2025/03/15,,,read,,,,1,0
188365460,"Reckless (The Powerless Trilogy, #2)",Lauren  Roberts,"Roberts, Lauren",,"=""1665955457""","=""9781665955454""",5,4.07,Simon & Schuster Books for Young Readers,Kindle Edition,400,2024,2024,2025/03/15,2025/03/01,,,read,,,,1,0
199897956,The Ministry of Time,Kaliane Bradley,"Bradley, Kaliane",,"=""""","=""""",4,3.56,Avid Reader Press / Simon & Schuster,Kindle Edition,344,2024,2024,2025/03/08,2024/12/30,,,read,,,,1,0
13188676,"Ignite Me (Shatter Me, #3)",Tahereh Mafi,"Mafi, Tahereh",,"=""006208559X""","=""9780062085597""",5,4.45,HarperCollins ,Kindle Edition,408,2014,2014,2025/02/28,2025/02/26,,,read,,,,1,0
218500922,"A Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",5,4.45,Bloomsbury Publishing,Kindle Edition,757,2024,2021,2025/02/25,2025/02/15,,,read,,,,1,0
